N,W_IN,W_FB,AUC
90,0.700000,0.100000,0.796
90,0.700000,0.200000,0.776
90,0.700000,0.300000,0.747
90,0.700000,0.400000,0.665
90,0.700000,0.500000,0.644
90,0.700000,0.600000,0.505
90,0.700000,0.700000,0.487
90,0.700000,0.800000,0.532
90,0.700000,0.900000,0.556
90,0.800000,0.100000,0.794
90,0.800000,0.200000,0.778
90,0.800000,0.300000,0.744
90,0.800000,0.400000,0.666
90,0.800000,0.500000,0.636
90,0.800000,0.600000,0.496
90,0.800000,0.700000,0.492
90,0.800000,0.800000,0.533
90,0.800000,0.900000,0.565
90,0.900000,0.100000,0.788
90,0.900000,0.200000,0.779
90,0.900000,0.300000,0.745
90,0.900000,0.400000,0.666
90,0.900000,0.500000,0.628
90,0.900000,0.600000,0.489
90,0.900000,0.700000,0.493
90,0.900000,0.800000,0.527
90,0.900000,0.900000,0.552
